,index,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone
206,207,1,3,male,26.0,0,0,18.7875,C,Third,man,True,Cherbourg,yes,True
207,208,1,3,female,16.0,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True
208,209,1,1,male,40.0,0,0,31.0,C,First,man,True,Cherbourg,yes,True
209,210,0,3,male,24.0,0,0,7.05,S,Third,man,True,Southampton,no,True
210,211,1,2,female,35.0,0,0,21.0,S,Second,woman,False,Southampton,yes,True
211,212,0,3,male,22.0,0,0,7.25,S,Third,man,True,Southampton,no,True
212,213,0,2,male,30.0,0,0,13.0,S,Second,man,True,Southampton,no,True
213,214,0,3,male,33.0,1,0,7.75,Q,Third,man,True,Queenstown,no,False
214,215,1,1,female,31.0,1,0,113.275,C,First,woman,False,Cherbourg,yes,False
215,216,1,3,female,27.0,0,0,7.925,S,Third,woman,False,Southampton,yes,True
216,217,0,2,male,42.0,1,0,27.0,S,Second,man,True,Southampton,no,False
217,218,1,1,female,32.0,0,0,76.2917,C,First,woman,False,Cherbourg,yes,True
218,219,0,2,male,30.0,0,0,10.5,S,Second,man,True,Southampton,no,True
219,220,1,3,male,16.0,0,0,8.05,S,Third,man,True,Southampton,yes,True
220,221,0,2,male,27.0,0,0,13.0,S,Second,man,True,Southampton,no,True
221,222,0,3,male,51.0,0,0,8.05,S,Third,man,True,Southampton,no,True
222,223,0,3,male,33.0,0,0,7.8958,S,Third,man,True,Southampton,no,True
223,224,1,1,male,38.0,1,0,90.0,S,First,man,True,Southampton,yes,False
224,225,0,3,male,22.0,0,0,9.35,S,Third,man,True,Southampton,no,True
225,226,1,2,male,19.0,0,0,10.5,S,Second,man,True,Southampton,yes,True
226,227,0,3,male,20.5,0,0,7.25,S,Third,man,True,Southampton,no,True
227,228,0,2,male,18.0,0,0,13.0,S,Second,man,True,Southampton,no,True
228,229,0,3,female,32.0,3,1,25.4667,S,Third,woman,False,Southampton,no,False
229,230,1,1,female,35.0,1,0,83.475,S,First,woman,False,Southampton,yes,False
230,231,0,3,male,29.0,0,0,7.775,S,Third,man,True,Southampton,no,True
231,232,0,2,male,59.0,0,0,13.5,S,Second,man,True,Southampton,no,True
232,233,1,3,female,5.0,4,2,31.3875,S,Third,child,False,Southampton,yes,False
233,234,0,2,male,24.0,0,0,10.5,S,Second,man,True,Southampton,no,True
234,235,0,3,female,32.0,0,0,7.55,S,Third,woman,False,Southampton,no,True
235,236,0,2,male,44.0,1,0,26.0,S,Second,man,True,Southampton,no,False
236,237,1,2,female,8.0,0,2,26.25,S,Second,child,False,Southampton,yes,False
237,238,0,2,male,19.0,0,0,10.5,S,Second,man,True,Southampton,no,True
238,239,0,2,male,33.0,0,0,12.275,S,Second,man,True,Southampton,no,True
239,240,0,3,female,32.0,1,0,14.4542,C,Third,woman,False,Cherbourg,no,False
240,241,1,3,female,32.0,1,0,15.5,Q,Third,woman,False,Queenstown,yes,False
241,242,0,2,male,29.0,0,0,10.5,S,Second,man,True,Southampton,no,True
242,243,0,3,male,22.0,0,0,7.125,S,Third,man,True,Southampton,no,True
243,244,0,3,male,30.0,0,0,7.225,C,Third,man,True,Cherbourg,no,True
244,245,0,1,male,44.0,2,0,90.0,Q,First,man,True,Queenstown,no,False
245,246,0,3,female,25.0,0,0,7.775,S,Third,woman,False,Southampton,no,True
246,247,1,2,female,24.0,0,2,14.5,S,Second,woman,False,Southampton,yes,False
247,248,1,1,male,37.0,1,1,52.5542,S,First,man,True,Southampton,yes,False
248,249,0,2,male,54.0,1,0,26.0,S,Second,man,True,Southampton,no,False
249,250,0,3,male,33.0,0,0,7.25,S,Third,man,True,Southampton,no,True
250,251,0,3,female,29.0,1,1,10.4625,S,Third,woman,False,Southampton,no,False
251,252,0,1,male,62.0,0,0,26.55,S,First,man,True,Southampton,no,True
252,253,0,3,male,30.0,1,0,16.1,S,Third,man,True,Southampton,no,False
253,254,0,3,female,41.0,0,2,20.2125,S,Third,woman,False,Southampton,no,False
254,255,1,3,female,29.0,0,2,15.2458,C,Third,woman,False,Cherbourg,yes,False
255,256,1,1,female,32.0,0,0,79.2,C,First,woman,False,Cherbourg,yes,True
256,257,1,1,female,30.0,0,0,86.5,S,First,woman,False,Southampton,yes,True
257,258,1,1,female,35.0,0,0,512.3292,C,First,woman,False,Cherbourg,yes,True
258,259,1,2,female,50.0,0,1,26.0,S,Second,woman,False,Southampton,yes,False
259,260,0,3,male,33.0,0,0,7.75,Q,Third,man,True,Queenstown,no,True
260,261,1,3,male,3.0,4,2,31.3875,S,Third,child,False,Southampton,yes,False
261,262,0,1,male,52.0,1,1,79.65,S,First,man,True,Southampton,no,False
262,263,0,1,male,40.0,0,0,0.0,S,First,man,True,Southampton,no,True
263,264,0,3,female,32.0,0,0,7.75,Q,Third,woman,False,Queenstown,no,True
264,265,0,2,male,36.0,0,0,10.5,S,Second,man,True,Southampton,no,True
265,266,0,3,male,16.0,4,1,39.6875,S,Third,man,True,Southampton,no,False
266,267,1,3,male,25.0,1,0,7.775,S,Third,man,True,Southampton,yes,False
267,268,1,1,female,58.0,0,1,153.4625,S,First,woman,False,Southampton,yes,False
268,269,1,1,female,35.0,0,0,135.6333,S,First,woman,False,Southampton,yes,True
269,270,0,1,male,33.0,0,0,31.0,S,First,man,True,Southampton,no,True
270,271,1,3,male,25.0,0,0,0.0,S,Third,man,True,Southampton,yes,True
271,272,1,2,female,41.0,0,1,19.5,S,Second,woman,False,Southampton,yes,False
272,273,0,1,male,37.0,0,1,29.7,C,First,man,True,Cherbourg,no,False
273,274,1,3,female,32.0,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True
274,275,1,1,female,63.0,1,0,77.9583,S,First,woman,False,Southampton,yes,False
275,276,0,3,female,45.0,0,0,7.75,S,Third,woman,False,Southampton,no,True
276,277,0,2,male,33.0,0,0,0.0,S,Second,man,True,Southampton,no,True
277,278,0,3,male,7.0,4,1,29.125,Q,Third,child,False,Queenstown,no,False
278,279,1,3,female,35.0,1,1,20.25,S,Third,woman,False,Southampton,yes,False
279,280,0,3,male,65.0,0,0,7.75,Q,Third,man,True,Queenstown,no,True
280,281,0,3,male,28.0,0,0,7.8542,S,Third,man,True,Southampton,no,True
281,282,0,3,male,16.0,0,0,9.5,S,Third,man,True,Southampton,no,True
282,283,1,3,male,19.0,0,0,8.05,S,Third,man,True,Southampton,yes,True
283,284,0,1,male,33.0,0,0,26.0,S,First,man,True,Southampton,no,True
284,285,0,3,male,33.0,0,0,8.6625,C,Third,man,True,Cherbourg,no,True
285,286,1,3,male,30.0,0,0,9.5,S,Third,man,True,Southampton,yes,True
286,287,0,3,male,22.0,0,0,7.8958,S,Third,man,True,Southampton,no,True
287,288,1,2,male,42.0,0,0,13.0,S,Second,man,True,Southampton,yes,True
288,289,1,3,female,22.0,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True
289,290,1,1,female,26.0,0,0,78.85,S,First,woman,False,Southampton,yes,True
290,291,1,1,female,19.0,1,0,91.0792,C,First,woman,False,Cherbourg,yes,False
291,292,0,2,male,36.0,0,0,12.875,C,Second,man,True,Cherbourg,no,True
292,293,0,3,female,24.0,0,0,8.85,S,Third,woman,False,Southampton,no,True
293,294,0,3,male,24.0,0,0,7.8958,S,Third,man,True,Southampton,no,True
294,295,0,1,male,33.0,0,0,27.7208,C,First,man,True,Cherbourg,no,True
295,296,0,3,male,23.5,0,0,7.2292,C,Third,man,True,Cherbourg,no,True
296,297,0,1,female,2.0,1,2,151.55,S,First,child,False,Southampton,no,False
297,298,1,1,male,33.0,0,0,30.5,S,First,man,True,Southampton,yes,True
298,299,1,1,female,50.0,0,1,247.5208,C,First,woman,False,Cherbourg,yes,False
299,300,1,3,female,32.0,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True
300,301,1,3,male,33.0,2,0,23.25,Q,Third,man,True,Queenstown,yes,False
301,302,0,3,male,19.0,0,0,0.0,S,Third,man,True,Southampton,no,True
302,303,1,2,female,32.0,0,0,12.35,Q,Second,woman,False,Queenstown,yes,True
303,304,0,3,male,33.0,0,0,8.05,S,Third,man,True,Southampton,no,True
304,305,1,1,male,0.92,1,2,151.55,S,First,child,False,Southampton,yes,False
305,306,1,1,female,32.0,0,0,110.8833,C,First,woman,False,Cherbourg,yes,True
306,307,1,1,female,17.0,1,0,108.9,C,First,woman,False,Cherbourg,yes,False
307,308,0,2,male,30.0,1,0,24.0,C,Second,man,True,Cherbourg,no,False
308,309,1,1,female,30.0,0,0,56.9292,C,First,woman,False,Cherbourg,yes,True
309,310,1,1,female,24.0,0,0,83.1583,C,First,woman,False,Cherbourg,yes,True
310,311,1,1,female,18.0,2,2,262.375,C,First,woman,False,Cherbourg,yes,False
311,312,0,2,female,26.0,1,1,26.0,S,Second,woman,False,Southampton,no,False
312,313,0,3,male,28.0,0,0,7.8958,S,Third,man,True,Southampton,no,True
313,314,0,2,male,43.0,1,1,26.25,S,Second,man,True,Southampton,no,False
314,315,1,3,female,26.0,0,0,7.8542,S,Third,woman,False,Southampton,yes,True
315,316,1,2,female,24.0,1,0,26.0,S,Second,woman,False,Southampton,yes,False
316,317,0,2,male,54.0,0,0,14.0,S,Second,man,True,Southampton,no,True
317,318,1,1,female,31.0,0,2,164.8667,S,First,woman,False,Southampton,yes,False
318,319,1,1,female,40.0,1,1,134.5,C,First,woman,False,Cherbourg,yes,False
319,320,0,3,male,22.0,0,0,7.25,S,Third,man,True,Southampton,no,True
320,321,0,3,male,27.0,0,0,7.8958,S,Third,man,True,Southampton,no,True
321,322,1,2,female,30.0,0,0,12.35,Q,Second,woman,False,Queenstown,yes,True
322,323,1,2,female,22.0,1,1,29.0,S,Second,woman,False,Southampton,yes,False
323,324,0,3,male,33.0,8,2,69.55,S,Third,man,True,Southampton,no,False
324,325,1,1,female,36.0,0,0,135.6333,C,First,woman,False,Cherbourg,yes,True
325,326,0,3,male,61.0,0,0,6.2375,S,Third,man,True,Southampton,no,True
326,327,1,2,female,36.0,0,0,13.0,S,Second,woman,False,Southampton,yes,True
327,328,1,3,female,31.0,1,1,20.525,S,Third,woman,False,Southampton,yes,False
328,329,1,1,female,16.0,0,1,57.9792,C,First,woman,False,Cherbourg,yes,False
329,330,1,3,female,32.0,2,0,23.25,Q,Third,woman,False,Queenstown,yes,False
330,331,0,1,male,45.5,0,0,28.5,S,First,man,True,Southampton,no,True
331,332,0,1,male,38.0,0,1,153.4625,S,First,man,True,Southampton,no,False
332,333,0,3,male,16.0,2,0,18.0,S,Third,man,True,Southampton,no,False
333,334,1,1,female,32.0,1,0,133.65,S,First,woman,False,Southampton,yes,False
334,335,0,3,male,33.0,0,0,7.8958,S,Third,man,True,Southampton,no,True
